time,open,high,low,close,hl2,Upper,Lower,target_bull,target_bear,os,phv,bull_top,bull_btm,bull_avg,bull_left,bear_top,bear_btm,bear_avg,bear_left,Bull OB,Bear OB,Volume,Volume MA
1699549200,1.2276799999999999,1.22797,1.22639,1.22662,1.2271800000000002,1.2295,1.2252,1.2252,1.2295,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,11025,10066.2
1699552800,1.22662,1.22685,1.2230699999999999,1.22569,1.2249599999999998,1.2295,1.2230699999999999,1.2230699999999999,1.2295,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,28602,11246.4
1699556400,1.22569,1.22578,1.22125,1.2220199999999999,1.223515,1.2295,1.22125,1.22125,1.2295,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22578,1.223515,1.2246475,1699556400000,NaN,1.22578,31922,12752.3
1699560000,1.2220199999999999,1.22298,1.22165,1.22178,1.222315,1.22892,1.22125,1.22125,1.22892,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,13890,13220.4
1699563600,1.22178,1.22244,1.22177,1.22226,1.222105,1.22797,1.22125,1.22125,1.22797,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,4655,13097.45
1699567200,1.22226,1.2225,1.22144,1.2221899999999999,1.22197,1.22685,1.22125,1.22125,1.22685,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,2789,12942.9
1699570800,1.2221899999999999,1.2223,1.22149,1.22162,1.221895,1.22578,1.22125,1.22125,1.22578,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,4274,12916.05
1699574400,1.22162,1.22232,1.22116,1.22209,1.22174,1.22298,1.22116,1.22116,1.22298,0,31922,1.218925,1.21843,1.2186775,1698973200000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,5847,12984.8
1699578000,1.22209,1.2227999999999999,1.22187,1.22241,1.222335,1.2227999999999999,1.22116,1.22116,1.2227999999999999,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,7438,13081.95
1699581600,1.22241,1.22272,1.22212,1.22233,1.22242,1.2227999999999999,1.22116,1.22116,1.2227999999999999,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,6072,13075.35
1699585200,1.22233,1.22262,1.22192,1.22211,1.22227,1.2227999999999999,1.22116,1.22116,1.2227999999999999,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,5064,12830.55
1699588800,1.22211,1.22284,1.22196,1.2227999999999999,1.2224,1.22284,1.22116,1.22116,1.22284,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,4149,12245.1
1699592400,1.2227999999999999,1.22291,1.22238,1.22261,1.222645,1.22291,1.22187,1.22187,1.22291,1,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,4759,11789.15
1699596000,1.22261,1.22304,1.22238,1.2226,1.22271,1.22304,1.22192,1.22192,1.22304,1,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,6663,11590.95
1699599600,1.2226,1.22378,1.22164,1.22273,1.2227100000000002,1.22378,1.22164,1.22164,1.22378,1,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,NaN,1.22378,14911,11858.9
1699603200,1.22273,1.2235,1.2217,1.2220199999999999,1.2226,1.22378,1.22164,1.22164,1.22378,1,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,NaN,NaN,14641,12095.45
1699606800,1.2220199999999999,1.22247,1.2206299999999999,1.22169,1.22155,1.22378,1.2206299999999999,1.2206299999999999,1.22378,1,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,NaN,NaN,12823,11775.1
1699610400,1.22169,1.22286,1.22092,1.22284,1.2218900000000001,1.22378,1.2206299999999999,1.2206299999999999,1.22378,1,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,NaN,NaN,11997,11325.35
1699614000,1.22284,1.223,1.22028,1.22071,1.22164,1.22378,1.22028,1.22028,1.22378,1,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,NaN,NaN,10821,10797.2
1699617600,1.22071,1.22239,1.22001,1.22203,1.2212,1.2235,1.22001,1.22001,1.2235,0,14911,1.218925,1.21843,1.2186775,1698973200000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,NaN,NaN,12019,10718.05
1699621200,1.22203,1.22273,1.2207,1.22241,1.221715,1.223,1.22001,1.22001,1.223,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,NaN,NaN,16394,10986.5
1699624800,1.22241,1.22247,1.21992,1.22008,1.2211949999999998,1.223,1.21992,1.21992,1.223,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,NaN,NaN,16585,10385.65
1699628400,1.22008,1.22105,1.2187,1.21961,1.219875,1.223,1.2187,1.2187,1.223,0,NaN,1.219875,1.2187,1.2192875,1699628400000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,1.2187,NaN,28829,10231
1699632000,1.21961,1.221,1.21923,1.2204,1.220115,1.22273,1.2187,1.2187,1.22273,0,NaN,1.219875,1.2187,1.2192875,1699628400000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,NaN,NaN,16074,10340.2
1699635600,1.2204,1.22187,1.21996,1.22168,1.220915,1.22273,1.2187,1.2187,1.22273,0,NaN,1.219875,1.2187,1.2192875,1699628400000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,NaN,NaN,12209,10717.9
1699639200,1.22168,1.2227999999999999,1.22125,1.22222,1.222025,1.2227999999999999,1.2187,1.2187,1.2227999999999999,0,NaN,1.219875,1.2187,1.2192875,1699628400000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,NaN,NaN,10314,11094.15
1699642800,1.22222,1.22312,1.22169,1.22179,1.222405,1.22312,1.2187,1.2187,1.22312,0,NaN,1.219875,1.2187,1.2192875,1699628400000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,NaN,NaN,7833,11272.1
1699646400,1.22179,1.22283,1.22148,1.22259,1.2221549999999999,1.22312,1.21923,1.21923,1.22312,1,28829,1.219875,1.2187,1.2192875,1699628400000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,NaN,NaN,5605,11260
1699650000,1.22259,1.22278,1.22218,1.22255,1.22248,1.22312,1.21996,1.21996,1.22312,1,NaN,1.219875,1.2187,1.2192875,1699628400000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,NaN,NaN,3813,11078.75
1699826400,1.22255,1.22295,1.22092,1.2227,1.221935,1.22312,1.22092,1.22092,1.22312,1,NaN,1.219875,1.2187,1.2192875,1699628400000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,NaN,NaN,570,10803.65
1699830000,1.2227,1.22318,1.2226299999999999,1.22292,1.222905,1.22318,1.22092,1.22092,1.22318,1,NaN,1.219875,1.2187,1.2192875,1699628400000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,NaN,NaN,2649,10682.9
1699833600,1.22292,1.2232,1.22243,1.22277,1.222815,1.2232,1.22092,1.22092,1.2232,1,NaN,1.219875,1.2187,1.2192875,1699628400000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,NaN,NaN,4763,10713.6
1699837200,1.22277,1.22358,1.22243,1.22353,1.223005,1.22358,1.22092,1.22092,1.22358,1,NaN,1.223005,1.22243,1.2227175,1699837200000,1.22378,1.2227100000000002,1.2232450000000001,1699599600000,1.22243,NaN,6908,10821.05
1699840800,1.22353,1.22361,1.22291,1.22304,1.22326,1.22361,1.22092,1.22092,1.22361,1,NaN,1.219875,1.2187,1.2192875,1699628400000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,6035,10789.65
1699844400,1.22304,1.22304,1.22231,1.22273,1.222675,1.22361,1.22231,1.22231,1.22361,1,NaN,1.219875,1.2187,1.2192875,1699628400000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,4882,10288.2
1699848000,1.22273,1.22334,1.22269,1.22281,1.2230150000000002,1.22361,1.22231,1.22231,1.22361,1,NaN,1.219875,1.2187,1.2192875,1699628400000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,4290,9770.65
1699851600,1.22281,1.22322,1.22267,1.223,1.222945,1.22361,1.22231,1.22231,1.22361,1,NaN,1.219875,1.2187,1.2192875,1699628400000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,4630,9361
1699855200,1.223,1.224,1.22281,1.22382,1.223405,1.224,1.22231,1.22231,1.224,1,6908,1.219875,1.2187,1.2192875,1699628400000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,5620,9042.15
1699858800,1.22382,1.22443,1.22339,1.22369,1.22391,1.22443,1.22231,1.22231,1.22443,1,NaN,1.219875,1.2187,1.2192875,1699628400000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,9260,8964.1
1699862400,1.22369,1.22422,1.22313,1.22407,1.223675,1.22443,1.22267,1.22267,1.22443,1,NaN,1.219875,1.2187,1.2192875,1699628400000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,13753,9050.8
1699866000,1.22407,1.22533,1.22379,1.22435,1.2245599999999999,1.22533,1.22267,1.22267,1.22533,1,NaN,1.219875,1.2187,1.2192875,1699628400000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,11074,8784.8
1699869600,1.22435,1.22556,1.22363,1.22513,1.2245949999999999,1.22556,1.22281,1.22281,1.22556,1,NaN,1.219875,1.2187,1.2192875,1699628400000,1.22578,1.223515,1.2246475,1699556400000,NaN,NaN,8585,8384.8
1699873200,1.22513,1.22553,1.22457,1.22498,1.22505,1.22556,1.22313,1.22313,1.22556,1,NaN,1.219875,1.2187,1.2192875,1699628400000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,9066,7396.65
1699876800,1.22498,1.22506,1.22353,1.2242,1.2242950000000001,1.22556,1.22313,1.22313,1.22556,1,NaN,1.219875,1.2187,1.2192875,1699628400000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,9714,7078.65
1699880400,1.2242,1.22555,1.22353,1.2246299999999999,1.22454,1.22556,1.22353,1.22353,1.22556,1,NaN,1.219875,1.2187,1.2192875,1699628400000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,14685,7202.45
1699884000,1.2246299999999999,1.22492,1.22294,1.22388,1.22393,1.22556,1.22294,1.22294,1.22556,1,NaN,1.219875,1.2187,1.2192875,1699628400000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,16078,7490.65
1699887600,1.22388,1.2258499999999999,1.22377,1.2252399999999999,1.22481,1.2258499999999999,1.22294,1.22294,1.2258499999999999,1,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,1.22377,NaN,20577,8127.85
1699891200,1.2252399999999999,1.2271,1.22476,1.22662,1.22593,1.2271,1.22294,1.22294,1.2271,1,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,13927,8543.95
1699894800,1.22662,1.22769,1.22626,1.22681,1.226975,1.22769,1.22294,1.22294,1.22769,1,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,10332,8869.9
1699898400,1.22681,1.2276,1.22615,1.2272,1.2268750000000002,1.22769,1.22294,1.22294,1.22769,1,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,8752,9279
1699902000,1.2272,1.22795,1.22697,1.22782,1.22746,1.22795,1.22377,1.22377,1.22795,1,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,7369,9515
1699905600,1.22782,1.22803,1.22741,1.22764,1.22772,1.22803,1.22476,1.22476,1.22803,1,20577,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,5576,9555.65
1699909200,1.22764,1.22802,1.22759,1.22788,1.227805,1.22803,1.22615,1.22615,1.22803,1,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,2456,9333.05
1699912800,1.22788,1.2279,1.22615,1.22748,1.227025,1.22803,1.22615,1.22615,1.22803,1,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,6608,9361.7
1699916400,1.22748,1.22808,1.22733,1.228,1.227705,1.22808,1.22615,1.22615,1.22808,1,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,956,9165.4
1699920000,1.228,1.22805,1.22721,1.22734,1.22763,1.22808,1.22615,1.22615,1.22808,1,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,3398,9120.8
1699923600,1.22734,1.22765,1.22699,1.22729,1.22732,1.22808,1.22615,1.22615,1.22808,1,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,5040,9141.3
1699927200,1.22729,1.2276,1.22702,1.22731,1.2273100000000001,1.22808,1.22615,1.22615,1.22808,1,NaN,1.22481,1.22377,1.2242899999999999,1699887600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,5034,9112
